,01 Battery bay left,02 Battery bay right,03 Clam shell left,04 Clam shell right,05 Dirt bowl receiver,06 Escutcheon,07 Exhaust duct,08 Exhaust grate,09 Impeller housing,10 Impeller,11 Motor bracket,12 Wall hook receiver,13 Wall hook,14 Wall mount,15 Grooves,16 Nozzle release spring,17 Nozzle release latch,18 Nozzle,19 Vortex generator,20 Nozzle air duct,21 Dust flap,21 Nozzle release holder,23 Dirt bowl release spring,24 Dirt bowl release button,25 Anti-theft device,26 Structural handle,27 Styling handle,28 Power button,31 Low voltage AC connector male,30 Leads,29 Low voltage AC connector female,32 Light Emitting Diode,33 Rectifier diode,34 Resistor,35 Transistor,36 Printed Circuit Board,37 Motor terminals,38 Vibration damper,39 Electric motor,40 Motor shaft,41 Motor cover,42 Filter media,43 Filter media holder,44 Nozzle release latch receiver,45 Dirt bowl release latch,46 Dirt bowl,47 Battery cell blank,48 Shrink wrap,49 Battery pack terminals,50 Battery cell rechargeable,51 Transformer,52 Power plugs,53 Encapsulation,54 Button cam device,55 Button cam receiver,56 Microswitch bracket,57 Microswitch
01 Battery bay left,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 Battery bay right,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03 Clam shell left,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04 Clam shell right,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05 Dirt bowl receiver,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06 Escutcheon,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07 Exhaust duct,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08 Exhaust grate,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09 Impeller housing,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 Impeller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
