,register battery,seal battery,transmit electricity,unseal battery,unregister battery,convert electricity to motion,switch power,input signal,input torque,transform,prevent back rotation,transform motion,transmit power,act on object,permit tooling position,register tooling,secure tooling,unlock tooling,release tooling,
register battery,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
seal battery,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
transmit electricity,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
unseal battery,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
unregister battery,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
convert electricity to motion,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,
switch power,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
input signal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
input torque,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,
transform,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
prevent back rotation,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,
transform motion,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
transmit power,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,
act on object,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,
permit tooling position,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
register tooling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
secure tooling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,
unlock tooling,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,
release tooling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
,,,,,,,,,,,,,,,,,,,,
