,DADF,IIT,Xerographics,ROS,TMT,Trays,OCT,Inverter Unit,Waste,Electrical/Control,NOHAD,Drives,Cover ,Printer Chassis
DADF,1,1,0,0,0,0,0,0,0,1,0,0,0,0
IIT,1,1,0,1,0,0,0,0,0,1,0,0,1,1
Xerographics,0,0,1,0,0,0,0,0,1,1,1,1,0,1
ROS,0,1,0,1,0,0,0,0,0,1,0,1,0,1
TMT,0,0,0,0,1,0,0,0,0,1,1,1,0,1
Trays,0,0,0,0,0,1,0,0,0,1,0,1,1,1
OCT,0,0,0,0,0,0,1,0,0,1,1,1,1,1
Inverter Unit,0,0,0,0,0,0,0,1,0,1,1,1,1,1
Waste,0,0,1,0,0,0,0,0,1,1,1,1,0,1
Electrical/Control,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NOHAD,0,0,1,0,1,0,1,1,1,1,1,1,1,1
Drives,0,0,1,1,1,1,1,1,1,1,1,1,0,1
Cover ,0,1,0,0,0,1,1,1,0,1,1,0,1,1
Printer Chassis,0,1,1,1,1,1,1,1,1,1,1,1,1,1
